country,lat,lng
United States,42.33704,-71.20922
United Kingdom,53.48095,-2.23743
United States,43.041371,-87.90968
United States,40.21705,-74.74294
United States,30.50826,-97.6789
United States,42.344727,-71.063554
Mexico,19.42847,-99.12766
United States,37.55376,-77.46026
United Kingdom,52.626335,1.291964
United States,41.800652,-73.121221
Switzerland,46.20222,6.14569
United Kingdom,51.50853,-0.12574
Japan,36.39111,139.06083
United Kingdom,50.75,-3.75
United States,39.76,-98.5
South Africa,-26.20227,28.04363
United Kingdom,52.25688,-1.16066
United States,39.95234,-75.16379
United Kingdom,52,-0.5
Japan,35.41746,139.33885
Belgium,50.85045,4.34878
Guam,13.58283,144.83534
United States,41.61422,-81.14899
United Kingdom,50.82838,-0.13947
Thailand,13.9,99.76667
United Kingdom,55.86515,-4.25763
Jamaica,18.31667,-77.4
United Kingdom,51.50853,-0.12574
United States,39.392421,-77.411825
Australia,-37.814,144.96332
United States,40.71427,-74.00597
United Kingdom,51.50853,-0.12574
Australia,-33.86785,151.20732
United States,39.95234,-75.16379
Mongolia,48.00556,91.64194
Russian Federation,55.75222,37.61556
United States,42.55308,-87.93341
Spain,43.26271,-2.92528
United States,33.749,-84.38798
United Kingdom,54.75844,-2.69531
United States,27.87307,-82.51007
Indonesia,-7.9797,112.6304
United States,25.76167,-80.35111
United Kingdom,52.632972,-1.133746
United States,38.89511,-77.03637
Thailand,15.5,101
United States,26.370416,-80.103369
United Kingdom,53.79648,-1.54785
Guernsey,49.43331,-2.35622
France,48.85341,2.3488
United Kingdom,51.227952,-1.463155
United States,33.83529,-117.9145
United Kingdom,52.83333,-2
Germany,48.13743,11.57549
United Kingdom,51.50853,-0.12574
United States,32.78306,-96.80667
India,23.34777,85.33856
Indonesia,-6.21462,106.84513
United States,46.87386,-96.76951
United States,43.43313,-71.5923
Belgium,50.92814,4.42938
United States,38.89511,-77.03637
United Kingdom,50.72048,-1.8795
United Kingdom,52.33574,-2.05983
United Kingdom,51.52509,-0.07695
United States,40.71427,-74.00597
United Kingdom,54.75844,-2.69531
United Kingdom,51.50853,-0.12574
United Kingdom,54.75844,-2.69531
United States,30.26715,-97.74306
United Kingdom,52.66667,-2.75
Senegal,16.01793,-16.48962
Canada,43.24378,-80.05567
China,26.47895,115.9531
Germany,50.570053,8.648558
Canada,42.983316,-81.243167
United Kingdom,51.47403,-0.06969
Switzerland,47.373,8.54168
United States,42.298741,-71.436821
United Kingdom,51.64875,-0.0974
United States,32.72541,-97.32085
Australia,-35.28346,149.12807
Libya,32.11486,20.06859
Brazil,-23.5475,-46.63611
Malaysia,2.26336,102.25155
Guinea-Bissau,12.26667,-14.7
United States,40.71427,-74.00597
Switzerland,46.20222,6.14569
Germany,52.52437,13.41053
Canada,60.10867,-113.64258
Guernsey,49.43331,-2.35622
United States,33.749,-84.38798
Guernsey,49.43331,-2.35622
United States,40.71427,-74.00597
Japan,35.41746,139.33885
Canada,43.70011,-79.4163
Spain,40.43293,-3.81338
United States,40.6501,-73.94958
United States,44.50024,-90.00041
United States,47.92526,-97.03285
France,48.868599,2.310487
Malaysia,3.7899,101.857
United States,41.05343,-73.53873
United States,47.67399,-122.12151
United States,40.56233,-74.13986
United States,34.00071,-81.03481
United States,33.749,-84.38798
Indonesia,-0.9513,100.370424
United States,14.628594,121.105593
United States,38.90355,-77.035345
Belgium,50.85045,4.34878
Canada,49.24966,-123.11934
United States,45.118546,-122.875951
France,46,2
United Kingdom,54.75844,-2.69531
United States,33.724682,-84.129518
United States,38.89511,-77.03637
United States,34.05223,-118.24368
United States,32.75041,-89.75036
United Kingdom,51.50853,-0.12574
United Kingdom,54.16667,-1.5
Canada,43.70011,-79.4163
Japan,35.66404,139.69821
Malaysia,6.441354,100.527872
United States,31.25044,-99.25061
United States,38.89511,-77.03637
France,46,2
United States,38.249134,-85.626068
United States,32.302679,-90.176054
United Kingdom,51.35,-0.2
United States,28.32529,-81.53313
United Kingdom,51.50853,-0.12574
United States,40.21705,-74.74294
Canada,45.50884,-73.58781
United Kingdom,51.50853,-0.12574
United Kingdom,52.0602,-1.34029
United Kingdom,51.50853,-0.12574
United States,45.118546,-122.875951
United Kingdom,51.420254,-0.314196
India,18.51957,73.85535
United States,41.25861,-95.93779
France,48.85341,2.3488
Japan,35.6895,139.69171
United States,34.5037,-93.05518
United States,36.07264,-79.79198
Moldova,47.25,28.58333
United States,29.95465,-90.07507
India,22,79
United States,39.73915,-104.9847
United States,39.95233,-75.16379
United States,44.97997,-93.26384
Belgium,50.87959,4.70093
United States,38.20042,-84.87762
United States,39.95234,-75.16379
United States,40.71427,-74.00597
United States,45.52345,-122.67621
United States,40.71427,-74.00597
Belgium,50.87959,4.70093
United States,42.12371,-71.17866
United States,42.00027,-93.50049
Canada,49.24966,-123.11934
Guernsey,49.43331,-2.35622
India,25,94
United States,38.89511,-77.03637
United States,38.89511,-77.03637
India,25,94
France,48.85341,2.3488
United States,36.20208,-81.67808
United States,45.52345,-122.67621
Georgia,41.99998,43.4999
Canada,43.70011,-79.4163
Costa Rica,9.99299,-84.12934
United States,39.76838,-86.15804
United States,35.08449,-106.65114
Jersey,49.21667,-2.11667
Poland,52.22977,21.01178
United States,45.52345,-122.67621
United Kingdom,50.82838,-0.13947
Germany,50.11552,8.68417
Turkey,38.41273,27.13838
United States,42.33143,-83.04575
United States,25.77427,-80.19366
India,19.07283,72.88261
United States,40.71427,-74.00597
Canada,60.10867,-113.64258
United Kingdom,53.53333,-0.08333
United States,33.44838,-112.07404
United States,35.04563,-85.30968
United States,29.76328,-95.36327
Cyprus,35,33
United States,38.89511,-77.03637
United States,41.82399,-71.41283
United States,28.24418,-82.71927
Gibraltar,36.14474,-5.35257
United Kingdom,53.16667,-2.58333
United States,47.75427,-122.16346
United Kingdom,51.50853,-0.12574
United States,34.73037,-86.5861
United Kingdom,51.420254,-0.314196
United States,25.77427,-80.19366
Saint Lucia,13.9957,-61.00614
Guernsey,49.43331,-2.35622
Canada,47.89346,-84.40775
United States,30.33218,-81.65565
Germany,52.52437,13.41053
United States,37.72083,-122.44667
United States,40.71427,-74.00597
Guam,13.58283,144.83534
Ukraine,48.023,37.80224
United States,38.89511,-77.03637
United States,38.30318,-77.46054
Canada,50.1162,-122.9534
Canada,49.24966,-123.11934
United States,35.46756,-97.51643
United States,38.89511,-77.03637
Hong Kong,22.28552,114.15769
United States,42.35843,-71.05977
Spain,41.38879,2.15899
France,48.8,2.13333
United States,40.71427,-74.00597
Kenya,-4.05466,39.66359
Malaysia,6.441354,100.527872
United States,43.07305,-89.40123
United Arab Emirates,25.06765,55.30557
United States,35.607916,-97.545646
Guam,13.58283,144.83534
United States,38.83388,-104.82136
Turkey,40.218553,29.06004
Malaysia,3.8152,103.3237
United Kingdom,54.56848,-1.3187
United States,38.89511,-77.03637
United States,40.71427,-74.00597
United Arab Emirates,25.09538,55.16171
United Kingdom,55.86515,-4.25763
United States,44.97997,-93.26384
United Kingdom,52.9536,-1.15047
Guernsey,49.43331,-2.35622
United Kingdom,51.81665,-0.81458
United Kingdom,52.48142,-1.89983
United States,39.76,-98.5
Thailand,15.5,101
United States,34.02051,-118.28563
United Kingdom,51.49937,-0.12846
United States,47.60621,-122.33207
Mexico,30,-115
United States,38.89511,-77.03637
Germany,52.52437,13.41053
United States,38.75212,-121.28801
United States,38.83388,-104.82136
India,22,79
United Kingdom,54.75844,-2.69531
United Kingdom,54.58333,-5.93333
United States,38.89511,-77.03637
United Kingdom,51.420254,-0.314196
United States,34.60593,-86.98334
Canada,43.70011,-79.4163
United States,39.76,-98.5
United Kingdom,54.48774,-0.61498
United States,40.71427,-74.00597
United Kingdom,51.50853,-0.12574
United States,47.67399,-122.12151
United States,30.50826,-97.6789
United Kingdom,51.50853,-0.12574
United States,40.71427,-74.00597
United States,41.23783,-81.93153
Russian Federation,60,100
United Kingdom,51.420254,-0.314196
United States,40.71427,-74.00597
South Africa,-33.92584,18.42322
United States,40.71427,-74.00597
Canada,49.08333,-122.35
United Kingdom,50.37153,-4.14305
Kenya,0,38
United States,32.71533,-117.15726
United States,39.76,-98.5
United Kingdom,51.50853,-0.12574
Spain,40,-4
United States,40.71427,-74.00597
Nigeria,9.05785,7.49508
Canada,44.64533,-63.57239
India,26.1844,91.7458
United Arab Emirates,25.06765,55.30557
Bahrain,26.03333,50.55
United States,37.55376,-77.46026
Canada,43.70011,-79.4163
United States,31.25044,-99.25061
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,39.76,-98.5
United States,39.084,-77.15276
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,40.71427,-74.00597
United States,34.09834,-118.32674
Guam,13.58283,144.83534
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
Guam,13.58283,144.83534
United States,29.9502,-90.08341
United States,34.09834,-118.32674
United States,39.76,-98.5
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,39.76,-98.5
United States,34.09834,-118.32674
United States,34.09834,-118.32674
Colombia,3.43722,-76.5225
United States,34.57943,-118.11646
United States,34.09834,-118.32674
United States,20.75028,-156.50028
United States,34.09834,-118.32674
United States,41.74305,-92.72241
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,41.85003,-87.65005
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United Kingdom,51.50853,-0.12574
United States,34.09834,-118.32674
Jamaica,18.16667,-77.25
Australia,-26.9667,133.325
United States,29.76328,-95.36327
United States,29.76328,-95.36327
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,40.71427,-74.00597
India,26.4478,80.34627
United States,34.09834,-118.32674
United States,34.09834,-118.32674
Svalbard and Jan Mayen,78.92373,11.92497
United States,34.09834,-118.32674
United States,32.71533,-117.15726
Jamaica,18.00726,-76.74633
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
United States,34.09834,-118.32674
