country,lat,lng
France,48.85341,2.3488
United Kingdom,54.75844,-2.69531
United Kingdom,52.5,-1.96667
United Kingdom,53.00415,-2.18538
Australia,-37.814,144.96332
Pakistan,24.9056,67.0822
United Kingdom,56,-4
Pakistan,30,70
Pakistan,24.9056,67.0822
United States,54.77535,-105.64453
United Kingdom,51.80174,-0.20691
United States,40.81677,-73.06622
India,28.65381,77.22897
United Kingdom,53.54051,-2.1183
India,13.08784,80.27847
India,26.83928,80.92313
Spain,40,-4
United States,42.14285,-77.05469
India,22,79
Guernsey,49.43331,-2.35622
Senegal,16.01793,-16.48962
United States,37.33939,-121.89496
Pakistan,33.72148,73.04329
India,12.97194,77.59369
Pakistan,34.37002,73.47082
United States,40.71427,-74.00597
United States,39.40206,-75.03934
India,19.07283,72.88261
United Kingdom,52.83111,-1.32806
France,-17.04333,42.7448
Dominica,15.58333,-61.46667
South Africa,-23.41612,28.16256
India,26.4478,80.34627
Guernsey,49.43331,-2.35622
South Africa,-29,24
India,28.65381,77.22897
United Kingdom,51.50853,-0.12574
Russian Federation,55.75222,37.61556
Russian Federation,55.75222,37.61556
Russian Federation,55.75222,37.61556
Russian Federation,55.75222,37.61556
Russian Federation,55.75222,37.61556
Russian Federation,51.72703,28.38867
Russian Federation,60,100
Russian Federation,55.75222,37.61556
Guernsey,49.43331,-2.35622
Kenya,-1.28333,36.81667
China,23.14166,113.25296
Australia,-25,135
Ukraine,49,32
Canada,45.50884,-73.58781
Canada,43.70011,-79.4163
Puerto Rico,18.24829,-66.49989
United Kingdom,53.81667,-3.05
United States,40.03622,-75.51381
India,22,79
Singapore,1.36667,103.8
Nigeria,10.52641,7.4388
United Kingdom,51.50853,-0.12574
United States,45.92618,-86.95259
United States,39.76,-98.5
United Kingdom,51.50853,-0.12574
United States,39.76,-98.5
United States,39.76,-98.5
United States,42.40309,-86.27364
India,22,79
India,28.4601,77.02635
United Kingdom,54.8951,-2.9382
Australia,-25,135
United States,34.14778,-118.14452
United Kingdom,51.50853,-0.12574
India,11.00555,76.96612
Tunisia,35.54964,10.869
United States,33.48194,-80.62556
Kenya,1,38
India,12.97194,77.59369
Australia,-16.92304,145.76625
Guernsey,49.43331,-2.35622
United States,34.08563,-105.76221
United States,39.76,-98.5
Austria,48.20849,16.37208
India,28.65381,77.22897
United Kingdom,51.50853,-0.12574
Philippines,11.77528,124.88611
United Kingdom,54.58333,-5.93333
Australia,-41.04789,147.73167
United Kingdom,51.50853,-0.12574
India,22,79
Australia,-25,135
Kenya,-1.28333,36.81667
India,13.08784,80.27847
India,23,72
United States,40.71427,-74.00597
Pakistan,30,70
United Kingdom,50.82838,-0.13947
United States,47.65966,-117.42908
India,23.34777,85.33856
Kenya,0.35,34.17
United States,33.66946,-117.82311
Nigeria,11.983238,8.551887
India,22,79
United Kingdom,56,-4
Russian Federation,45.04484,38.97603
United States,42.88064,-71.32729
United Kingdom,53.68331,-1.49768
Australia,-31.95224,115.8614
India,22,79
Antarctica,-77.55,166.11667
South Korea,37.566,126.9784
Australia,-33.86785,151.20732
United Kingdom,51.50853,-0.12574
Spain,40.4165,-3.70256
United Arab Emirates,25.25817,55.30472
Canada,45.41117,-75.69812
China,25.03889,102.71833
Nigeria,11.983238,8.551887
Pakistan,33.72148,73.04329
Ukraine,49.98081,36.25272
United Kingdom,55.82347,-3.09334
Pakistan,24.9056,67.0822
United States,29.61689,-99.18254
Greece,37.97945,23.71622
India,28.42202,77.10453
Australia,-16.92304,145.76625
Ukraine,50.45466,30.5238
India,22,79
United States,38.89511,-77.03637
Pakistan,24.9056,67.0822
United Kingdom,51.50853,-0.12574
India,19.07283,72.88261
Malaysia,3.1412,101.68653
India,22,79
India,28.65381,77.22897
Guernsey,49.43331,-2.35622
Pakistan,30,70
United Kingdom,52.2,0.11667
United Kingdom,53.48095,-2.23743
United States,33.749,-84.38798
Spain,40,-4
India,28.65381,77.22897
Guernsey,49.43331,-2.35622
United Kingdom,56,-4
Malta,35.91667,14.43333
India,28.65381,77.22897
Russian Federation,60,100
United Kingdom,55.95206,-3.19648
Pakistan,30,70
United Kingdom,52.83111,-1.32806
Japan,37.34143,136.78502
United Kingdom,55.86515,-4.25763
Ireland,51.85722,-8.29917
India,22,79
Libya,32.87519,13.18746
South Africa,-23.90448,29.46885
United Kingdom,51.83333,-0.25
Ukraine,49,32
United States,42.29593,-71.71285
United Kingdom,50.82838,-0.13947
United Kingdom,51.83333,-0.25
Australia,-27.46794,153.02809
Australia,-25,135
Pakistan,33.72148,73.04329
Russian Federation,55.75222,37.61556
United Kingdom,55.95206,-3.19648
South Korea,36.5,127.75
United States,34.85262,-82.39401
Costa Rica,10.08802,-84.47022
United Kingdom,54.75844,-2.69531
Ghana,5.80893,-0.35026
United Kingdom,51.5,-1.25
Pakistan,31.54972,74.34361
Australia,-30,151.83333
Australia,-37.814,144.96332
United Kingdom,51.34194,1.34611
Nigeria,9.05785,7.49508
United Kingdom,55.46273,-4.63393
United States,41.94312,-77.66082
Pakistan,30,70
United States,44.50024,-90.00041
Haiti,18.58005,-72.29254
Russian Federation,59.88101,30.99507
Tunisia,35.54964,10.869
United States,39.76,-98.5
United States,34.08563,-105.76221
Australia,-25,135
United States,41.143,-111.7916
United States,41.08144,-81.51901
Pakistan,30,70
Japan,35.6895,139.69171
India,22,79
Cayman Islands,19.3,-81.11667
India,28.65381,77.22897
India,22,79
United Kingdom,51.50853,-0.12574
New Caledonia,-21.05,165.36667
South Korea,36.5,127.75
United States,41.95028,-97.22393
Switzerland,47.00016,8.01427
India,17.38405,78.45636
United Kingdom,51.83333,-0.25
Ireland,53,-8
Australia,-27.451613,153.186466
United Kingdom,51.50853,-0.12574
Australia,-35.28346,149.12807
Vietnam,16.06778,108.22083
Australia,-25,135
India,28.65381,77.22897
India,22,79
India,30.73629,76.7884
United Kingdom,51.50853,-0.12574
Mongolia,46,105
India,28.65381,77.22897
United Kingdom,55.86515,-4.25763
India,22,79
Russian Federation,51.72703,28.38867
United Kingdom,56,-4
India,23,71.75
United Kingdom,54.97328,-1.61396
United Arab Emirates,25.25817,55.30472
Pakistan,30.19556,71.47528
Kenya,1.01572,35.00622
Somalia,6,48
United Kingdom,57.14369,-2.09814
United States,32.83847,-97.11958
United Kingdom,51.50853,-0.12574
Italy,45.46427,9.18951
Pakistan,24.9056,67.0822
Turkey,41.031382,28.987093
United States,32.71533,-117.15726
United Kingdom,51.50853,-0.12574
India,26.4478,80.34627
United Kingdom,51.50853,-0.12574
Pakistan,24.9056,67.0822
Guernsey,49.43331,-2.35622
India,18.51957,73.85535
Kenya,-1.28333,36.81667
United Kingdom,51.50853,-0.12574
Kenya,1,38
Guernsey,49.43331,-2.35622
Italy,45.46427,9.18951
United Kingdom,52.56667,-1.81667
United States,39.76,-98.5
Russian Federation,55.75222,37.61556
United Kingdom,51.50853,-0.12574
United Kingdom,53.41058,-2.97794
Canada,60.10867,-113.64258
India,28.65381,77.22897
United Kingdom,51.50853,-0.12574
Nigeria,10,8
India,28.594109,77.295557
United States,39.28167,-76.60167
United States,38.89511,-77.03637
United Kingdom,51.50853,-0.12574
United Kingdom,51.50853,-0.12574
United States,32.71533,-117.15726
United Kingdom,56,-4
Pakistan,33.72148,73.04329
United Kingdom,55.86515,-4.25763
United Kingdom,54.18333,-3.21667
United Kingdom,57.14369,-2.09814
Pakistan,24.9056,67.0822
United Kingdom,55.86515,-4.25763
New Zealand,-43.53333,172.63333
Ukraine,49,32
India,22,79
United Kingdom,51.2599,-0.15643
Pakistan,24.9056,67.0822
India,19.07283,72.88261
India,28.65381,77.22897
France,46,2
United States,41.63622,-70.93421
Australia,-25,135
Hungary,47.49801,19.03991
United States,34.07362,-118.40036
United States,42.73253,-84.55553
India,22,79
United States,44.50024,-90.00041
United Kingdom,50.37153,-4.14305
India,22,79
Nigeria,11.983238,8.551887
United States,34.14778,-118.14452
Guernsey,49.43331,-2.35622
Nigeria,10,8
United States,38.89511,-77.03637
Philippines,13,122
United States,43.78674,-75.49185
Australia,-25,135
Kenya,-1.28333,36.81667
India,26.4478,80.34627
United Kingdom,51.50853,-0.12574
Croatia,45.81444,15.97798
Pakistan,33.72148,73.04329
Antarctica,-77.55,166.11667
United Kingdom,51.50853,-0.12574
Nigeria,10,8
Australia,-25,135
Guernsey,49.43331,-2.35622
Colombia,6.25184,-75.56359
New Zealand,-36.86667,174.76667
United States,33.749,-84.38798
United Kingdom,55.25,-4.66667
India,22,79
United States,38.73454,-104.03993
Ireland,53.33306,-6.24889
India,13.5,76
United States,39.29038,-76.61219
United States,38.89428,-77.04775
United Kingdom,55.9,-4.75
New Zealand,-41.28664,174.77557
United States,34.23087,-111.32514
South Africa,-26.20227,28.04363
United States,40.4226,-75.06628
United Kingdom,51.50853,-0.12574
Spain,41.38879,2.15899
Guernsey,49.43331,-2.35622
Japan,34.8559,135.47926
United Kingdom,57.145263,-2.097466
Canada,45.41117,-75.69812
United Kingdom,52.62783,1.29834
India,19.07283,72.88261
India,22,79
India,28.65381,77.22897
Pakistan,30.87791,71.9076
China,39.9075,116.39723
South Korea,37.63637,126.6927
United Kingdom,51.50853,-0.12574
United Kingdom,51.50853,-0.12574
United Kingdom,52.235861,-0.897147
United States,39.29038,-76.61219
India,22,79
United Kingdom,56,-4
Australia,-27.58329,153.31172
Pakistan,33.72148,73.04329
United Kingdom,55.95206,-3.19648
United States,34.00071,-81.03481
Egypt,27,30
Spain,41.98311,2.82493
United States,41.85003,-87.65005
Japan,35.44778,139.6425
United States,39.76,-98.5
Ukraine,48.90485,38.44207
United Kingdom,53.22683,-0.53792
India,25.31668,83.01042
United States,39.09973,-94.57857
United States,40.85899,-73.9143
United States,21.30694,-157.85833
Italy,41.34382,-3.33984
Pakistan,33.72148,73.04329
India,22,79
India,28.58,77.33
South Korea,37.566,126.9784
India,17.83333,79.08333
Pakistan,30,70
India,23.02579,72.58727
Indonesia,6.83917,116.45508
Japan,35.6895,139.69171
Canada,45.41117,-75.69812
United Kingdom,52.16667,-2.16667
United States,37.25022,-119.75126
United Kingdom,51.50853,-0.12574
South Korea,37.566,126.9784
Russian Federation,55.75222,37.61556
United Kingdom,51.50853,-0.12574
India,28.42202,77.10453
Belgium,50.54455,3.32088
India,28.65381,77.22897
India,20.46497,85.87927
United Kingdom,51.50853,-0.12574
United States,38.96872,-77.3411
India,28.65381,77.22897
United Kingdom,53.40979,-2.15761
Australia,-25,135
United States,32.71533,-117.15726
South Korea,37.566,126.9784
India,28.65381,77.22897
India,22,79
New Zealand,-42,174
India,19.07283,72.88261
United Kingdom,54.97328,-1.61396
United Arab Emirates,25.0657,55.17128
Dominica,15.58333,-61.46667
United Kingdom,51.5,-2.41667
United Kingdom,51.50853,-0.12574
Pakistan,24.9056,67.0822
United Kingdom,55.95206,-3.19648
Pakistan,31.54972,74.34361
United Arab Emirates,25.06765,55.30557
United Kingdom,57.14369,-2.09814
United States,34.5037,-93.05518
United Kingdom,54.75844,-2.69531
United States,38.14958,-79.0717
Pakistan,24.9056,67.0822
United Kingdom,51.50853,-0.12574
Pakistan,24.9056,67.0822
Pakistan,33.72148,73.04329
South Korea,37.566,126.9784
Guernsey,49.43331,-2.35622
United States,39.76,-98.5
Pakistan,34.008,71.57849
India,28.4601,77.02635
Australia,-35.28346,149.12807
United States,40.71427,-74.00597
Australia,-37.814,144.96332
Nigeria,11.983238,8.551887
India,22.56263,88.36304
Pakistan,33.72148,73.04329
Australia,-25,135
United States,41.94312,-77.66082
South Korea,37.566,126.9784
India,28.58,77.33
United Kingdom,51.50853,-0.12574
Tunisia,34,9
India,22,79
Nigeria,4.75,6.08333
Nigeria,10,8
Nigeria,4.75,6.08333
United Kingdom,55.86515,-4.25763
China,23.14166,113.25296
Australia,-25,135
South Korea,37.566,126.9784
Argentina,-34.61315,-58.37723
India,30.72545,76.85329
United Kingdom,51,-0.41667
Morocco,32,-6
United States,32.71533,-117.15726
Finland,65.01236,25.46816
Australia,-33.86785,151.20732
Pakistan,24.9056,67.0822
Nigeria,10.52641,7.43879
Canada,49.24966,-123.11934
United Kingdom,51.50853,-0.12574
India,28.65381,77.22897
South Korea,37.566,126.9784
India,30.72545,76.85329
India,28.65381,77.22897
Bulgaria,42.73333,22.8
Belgium,50.89318,5.6468
United Kingdom,55.86515,-4.25763
India,28.65381,77.22897
Zimbabwe,-19,29.75
Guernsey,49.43331,-2.35622
South Korea,37.566,126.9784
United Kingdom,53.79648,-1.54785
United States,44.94441,-93.09327
United States,40.6501,-73.94958
United Kingdom,52.5,-3.5
United States,43.00063,-75.31378
Australia,-25,135
India,14.66667,75.83333
Nigeria,10,8
Canada,52,-56
